Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303900,Burner Efficiency Services Limited,587.02,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303900,M Thomas Water Services Limited,540,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303930,M Thomas Water Services Limited,680,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303931,G.P.H.I.T (Integrated Services) Limited,3600,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303931,Taylor Decorating Limited,920,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,303950,Burner Efficiency Services Limited,540,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,305657,SMK Building & Maintenance Limited,8726.45,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,305661,SMK Building & Maintenance Limited,20721.33,Revenue
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,09-May-18,305718,Moorland Environmental Limited,810,Revenue
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,09-May-18,319010,Gemco Service Limited,1157.52,Revenue
DIRECT ENVIRONMENT AND HOUSING,VEHICLES,09-May-18,319010,Ted Hopkins Limited,1395.17,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,British Telecommunications Plc,3533.29,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,Calibre Contracting Limited,1900.47,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,Calibre Contracting Limited,1506.45,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,Calibre Contracting Limited,729.09,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,Garth Plant Hire Limited,1106.25,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325338,Garth Plant Hire Limited,1106.25,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325340,Calibre Contracting Limited,1506.45,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325340,Calibre Contracting Limited,729.09,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325340,Garth Plant Hire Limited,1106.25,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325342,Calibre Contracting Limited,2001.96,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,325342,Garth Plant Hire Limited,1366.25,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,09-May-18,341350,Tradebe Management Limited,745.29,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,352719,Business Gas Limited / Electricity,812.13,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,352719,Business Gas Limited / Electricity,726.06,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,352719,Business Gas Limited / Electricity,732.72,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,352719,Business Gas Limited / Electricity,726.51,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,352719,Business Gas Limited / Electricity,1085.53,Revenue
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,09-May-18,365763,MISL Limited,1530.17,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,09-May-18,365786,Easyway Minicoach Hire Limited,6182.01,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,09-May-18,365803,CJ Contract Travel Services Limited,15702.61,Revenue
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,09-May-18,365803,CJ Contract Travel Services Limited,7889.97,Revenue
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,09-May-18,405100,ACTL Limited,1246.2,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-May-18,407106,Building Recruitment Company Limited,621.64,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-May-18,407111,Edmundson Electrical Limited,532.5,Revenue
DIRECT ENVIRONMENT AND HOUSING,HOUSING,09-May-18,407153,A2B (South Wales) Limited,663.34,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,09-May-18,471901,South Wales Fire and Rescue Service,500508,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF SWPA PRECEPTS,09-May-18,475970,The Police and Crime Commissioner for South Wales,1140671,Revenue
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,09-May-18,831534,CHAPS - Simons Plaice Limited,12931.29,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-May-18,842145,Lovell Partnerships Limited,38208.03,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-May-18,842145,Lovell Partnerships Limited,46631.73,Capital
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,09-May-18,842145,Lovell Partnerships Limited,49223.44,Capital
