Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,422160,Hays Specialist Recruitment Limited,898.28,Revenue
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,03-Apr-18,422160,Hays Specialist Recruitment Limited,929.27,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Baltimore Care Limited,635,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Baltimore Care Limited,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Baltimore Care Limited,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Baltimore Care Limited,513.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,513.57,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,574,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,685.51,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Duffryn Ffrwd Manor Limited,552.14,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,E & E Homes Limited T/A Cliffhaven Residential Home,635,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,925,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Forge Care Homes Limited t/a The Forge Care Centre,676.33,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Harrison Care Enterprises Barry Limited t/a Island View,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Hebron Hall Limited,574,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,June Zehetmayr t/a Tower Hill Residential Home,538.95,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,June Zehetmayr t/a Tower Hill Residential Home,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Lakeside Homes Limited T/A Lakeside House,551.98,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,506.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,528.94,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,502.55,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,503.15,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,MHA Care Group t/a Morel Court,518.24,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,557.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,579.07,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,606.25,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,585.62,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,532.31,Revenue
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03-Apr-18,215489,Middlepatch Limited T/A College Fields Nursing Home,589.85,Revenue
