Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,Hallows Care Limited T/A Hallows Care,597.79,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,Hallows Care Limited T/A Hallows Care,597.79,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,Recovery Care Limited,2472.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,216179,Recovery Care Limited,2472.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,1st Grade Care Limited,676.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,1st Grade Care Limited,676.7,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Caring Companions Limited,716.8,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Caring Companions Limited,627.2,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04-Jun-18,217909,Caring Companions Limited,627.2,Revenue,agen
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,04-Jun-18,100121,CoveyTRC Limited,990,Revenue,Companies
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,04-Jun-18,100121,CoveyTRC Limited,-990,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,04-Jun-18,130280,Lyreco UK Limited,554.65,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04-Jun-18,140112,Quanta Training Limited,585,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04-Jun-18,140117,Partnerships In Care Limited T/A Care First,665.93,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04-Jun-18,140120,Quanta Training Limited,585,Revenue,Companies
