Directorate,Sub Directorate,Accounting Date,COST CENTRE,Supplier Name,Net Amount,Type,Minority Group
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GRANTS,13-Jun-18,465201,Gibby Green Fingers,3000,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,777.34,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,763.04,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,522.58,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,776.41,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,683.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,576.76,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,743.81,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,607.95,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,655.59,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,836.84,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,706.12,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,730.93,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,715.42,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,724.65,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,505.05,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,637.71,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,538.31,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,696.19,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,595.62,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,622.72,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,781.05,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Care In Wales Limited T/A Care in the Vale,670.84,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,216179,Care In Wales Limited T/A Care in the Vale,605.44,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,216179,Care In Wales Limited T/A Care in the Vale,565.67,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,731.25,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,714.31,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,723.53,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,672.26,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,666.69,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,218419,Care In Wales Limited T/A Care in the Vale,677.98,Revenue,agen
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,14-Jun-18,100121,CoveyTRC Limited,990,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,101075,GL Education Group Limited,1929.1,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,101171,Academics Limited,806.8,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,101171,Carpet Services (Cardiff) Limited t/a CS Flooring Solutions,717,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,102593,Inclusive Technology Limited,686.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,102593,eBuyer UK Limited,933.14,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,102594,EDF Energy Plc,630.79,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,14-Jun-18,130511,The Abbey Cleaning Services Limited,586.14,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215121,iTs Designs Limited T/A Alert It,588,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215191,Equip4work Limited t/a OfficeFurnitureOnline.co.uk,1164,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Everycare (Cardiff) Limited,651.9,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Everycare (Cardiff) Limited,941.64,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Everycare (Cardiff) Limited,855.88,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Innovate Trust Limited,1944.2,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Merricks Private Transport Contractors Limited,506,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Jun-18,407106,Social Welfare Training Limited,665,Revenue,Companies
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,14-Jun-18,842144,Tunstall Healthcare (UK) Limited,1137.32,Capital,Companies
DIRECT CAPITAL POLICY,CAPITAL POLICY,14-Jun-18,852233,Pervasive Networks Limited,61189.27,Capital,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,14-Jun-18,479050,St Richard Gwyn Catholic High School,722.44,Revenue,Other Local Authorites
DIRECT MANAGING DIRECTOR AND RESOURCES,GF MISCELLANEOUS POLICY,14-Jun-18,479050,Stanwell Comprehensive School,668.94,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217691,Samantha Wrightson,1452,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,14-Jun-18,333500,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,643.75,Revenue,Professional Services
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,14-Jun-18,333550,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,643.75,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,101065,Oxford University Press,2197.25,Revenue,Public Bodies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,14-Jun-18,101261,New Directions (Education) Limited,562.36,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,14-Jun-18,140131,Randstad Solutions Limited,122266.75,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,14-Jun-18,407106,James Andrews Recruitment Solutions Limited,803,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Jun-18,422150,Hays Specialist Recruitment Limited,694.88,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Jun-18,422160,Anderselite Limited,850,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Jun-18,422160,Anderselite Limited,662.5,Revenue,recy
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,14-Jun-18,422160,Hays Specialist Recruitment Limited,554.63,Revenue,recy
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,707.52,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,619.08,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,663.26,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,756.96,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,619.08,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,536.85,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,540.75,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,652.54,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,816.14,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,660.68,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,584.08,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,619.08,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,667.86,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,695.68,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,215489,Willowmere Home Care Agency Limited,572.36,Revenue,Residential Homes
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Freeways Trust,2992,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,HF Trust Limited,4463.2,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Vision 21,624.3,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Vision 21,874.02,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Vision 21,874.02,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,14-Jun-18,217909,Vision 21,582.68,Revenue,Voluntary Organisations
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,744.05,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,707,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,707.88,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,668.86,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,719.81,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,216179,Susan Barrett t/a All Saints Domiciliary Care Agency,514.74,Revenue,agen
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,15-Jun-18,100114,FFT Education Limited,8436,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101004,A & R Contract Cleaning Specialist Limited,1558.72,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101004,Superstars School Services Limited,1592.88,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101007,Business Gas Limited / Electricity,-554.59,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101007,Business Gas Limited / Electricity,-516.23,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101202,EDF Energy Plc,539.55,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101202,Lockertek Limited,1636,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,102593,Business Gas Limited / Electricity,2641.73,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,102593,Business Gas Limited / Electricity,572.57,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,15-Jun-18,102636,Associated Community Training Limited,8465,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,15-Jun-18,154401,Supacleen Limited,950,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,15-Jun-18,215011,Infographics Limited,1017.4,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,15-Jun-18,260060,Foster Care Associates Limited,-2160,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,15-Jun-18,260060,Foster Care Associates Limited,-8100,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,15-Jun-18,301100,Datastox Limited,-840,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,15-Jun-18,305716,G.P.H.I.T (Integrated Services) Limited,11236.4,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15-Jun-18,325560,Centregreat Limited,34732.92,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15-Jun-18,325644,Centregreat Limited,23332.21,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Jun-18,349605,Print Partnership Reprographics Limited,555.99,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Jun-18,352718,Business Gas Limited / Electricity,1002.63,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Jun-18,352730,Hexion UK Limited,3318.12,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SHARED SERVICES,15-Jun-18,403008,Barton Hyett Associates Limited,820,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,15-Jun-18,405100,L Mustoe Limited,762.24,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Jun-18,407118,Geraint John Planning Limited,1000,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,15-Jun-18,422120,Windhager UK Limited,625,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,15-Jun-18,440032,Mountain Tops Limited t/a Cresta Caterers,1198.5,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,15-Jun-18,440032,Mountain Tops Limited t/a Cresta Caterers,800,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,15-Jun-18,471900,The Copyright Licensing Agency Limited,4921.72,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,15-Jun-18,100404,Cardiff County Council,4907.9,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,GF BUSINESS MANAGEMENT & INOVATION,15-Jun-18,239011,Cardiff County Council,5567.95,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,15-Jun-18,260500,Rhondda Cynon Taff County Borough Council,3754,Revenue,Other Local Authorites
DIRECT SOCIAL SERVICES,REGIONAL ADOPTION SERVICE,15-Jun-18,260500,Rhondda Cynon Taff County Borough Council,667.5,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,BUILDING SERVICES,15-Jun-18,303000,Cardiff County Council,3187.85,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,15-Jun-18,333220,Cardiff County Council,920.39,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,15-Jun-18,341220,Cardiff County Council,8801.12,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Jun-18,349702,Cardiff County Council,8788.38,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,15-Jun-18,360002,Cardiff County Council,586.95,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,REGULATORY SERVICES (MILES),15-Jun-18,402005,Cardiff County Council,1532.1,Revenue,Other Local Authorites
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Jun-18,407100,Cardiff County Council,1034.94,Revenue,Other Local Authorites
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,15-Jun-18,420201,Cardiff County Council,3149.95,Revenue,Other Local Authorites
DIRECT MANAGING DIRECTOR AND RESOURCES,GF GENERAL EXPENDITURE POLICY,15-Jun-18,471900,Cardiff County Council,13522.31,Revenue,Other Local Authorites
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101233,PSC - Amanda Lane,1218,Revenue,Personal Service Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101233,PSC - Amanda Lane,-1125,Revenue,Personal Service Companies
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,15-Jun-18,405100,Lyndon Mustoe,2943.42,Revenue,Professional Services
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,15-Jun-18,101202,Valley Education Services Limited,1017.3,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Jun-18,407119,Hays Specialist Recruitment Limited,1013.33,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,HOUSING,15-Jun-18,407119,Hays Specialist Recruitment Limited,949.26,Revenue,recy
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,15-Jun-18,354037,Ingrid Walker t/a Pyramid Stained Glass,1205,Revenue,Sole Traders
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,694.1,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,662.28,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,627.96,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,588.94,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215489,Susan Barrett t/a All Saints Domiciliary Care Agency,669.86,Revenue,agen
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,218419,Crossroads in the Vale (EMI) Limited,26785.2,Revenue,agen
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101007,Business Gas Limited / Electricity,528.72,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101007,EDF Energy Plc,599.46,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101007,EDF Energy Plc,510.85,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101013,Glen Cleaning Company Limited,1197.15,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101013,Xerox (UK) Limited,713.55,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101025,EDF Energy Plc,817,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,Academics Limited,561.76,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101030,EDF Energy Plc,564.88,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101031,EDF Energy Plc,654.37,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101032,EDF Energy Plc,819.77,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101047,EDF Energy Plc,596.42,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101063,The Assessment Foundation CIC,666,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101075,EDF Energy Plc,651.42,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101137,EDF Energy Plc,601.38,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101141,Pinit Building & Civil Engineering Limited,1654,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101171,Academics Limited,806.8,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101173,EDF Energy Plc,683.12,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101195,EDF Energy Plc,1132.45,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101213,EDF Energy Plc,568.88,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101216,Baby Splash Limited,810,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101216,EDF Energy Plc,678.8,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101229,Glen Cleaning Company Limited,2433.14,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101300,EDF Energy Plc,503.61,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101306,J & D Water Consultants Limited,1420,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101306,Legacy Leisure Limited,978.75,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101306,One Team Logic Limited,643,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101306,The Assessment Foundation CIC,798,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101308,EDF Energy Plc,1085.82,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101315,EDF Energy Plc,895.5,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,101317,Ministry of Furniture Limited,810,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,102593,Urban Recreation Limited,770,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102632,Inspired Learners Limited,640,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102636,Empowering Learning Limited,1660.38,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102636,Media Academy Cardiff Limited,600,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102636,Springfield Supplies & Projects Limited,1259.6,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102652,Smooth Starts Plus Limited,1540,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,102652,Smooth Starts Plus Limited,1260,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,104381,Atlantes Educational Services Limited,1050,Revenue,Companies
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,18-Jun-18,104385,Midshire Business Systems (Northern) Limited,529.34,Revenue,Companies
DIRECT LEARNING AND SKILLS,ACHIEVEMENT FOR ALL,18-Jun-18,130210,Chubb Fire & Security Limited,715.86,Revenue,Companies
DIRECT ENVIRONMENT AND HOUSING,REGENERATION & PLANNING,18-Jun-18,130511,Business Gas Limited / Electricity,-576.13,Revenue,Companies
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,18-Jun-18,140117,Partnerships In Care Limited T/A Care First,732.52,Revenue,Companies
DIRECT LEARNING AND SKILLS,GF CATERING,18-Jun-18,154401,Safewear Cardiff Limited,505.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,18-Jun-18,209151,AMS Sanderson Limited T/A AMS International,592,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,212731,Corona Energy Retail 4 Limited,669.16,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,212781,Corona Energy Retail 4 Limited,1100.6,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,212791,Corona Energy Retail 4 Limited,734.37,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215025,Diverse Excellence Cymru,4292.5,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,215803,Corona Energy Retail 4 Limited,959.9,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,216731,CJ Contract Travel Services Limited,570,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217541,Care Management Group Limited,34357.38,Revenue,Companies
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,18-Jun-18,217541,Care Management Group Limited,94599.4,Revenue,Companies
